Title,Description,Assignee,Labels,Milestone,Priority,Estimate
"TICKET #1: Setup Básico del Cliente","**Sprint:** 1\n**Componente:** Cliente\n**Estimación:** 8 horas\n\n**Tareas:**\n- TC-001: Socket Cliente TCP/IP\n- TC-008: Archivo de Configuración\n- TC-009: Sistema de Logging\n\n**Criterios:**\n- [ ] Cliente conecta al servidor\n- [ ] Reconexión automática funciona\n- [ ] Config JSON completo\n- [ ] Logs con rotación\n\n**Archivos:** client/src/network/socket_client.py, client/src/config/config_manager.py","Integrante1","component: client,priority: high,sprint-1","Sprint 1","High","8h"
"TICKET #2: Recolección y Envío de Métricas","**Sprint:** 1\n**Componente:** Cliente\n**Estimación:** 6 horas\n\n**Tareas:**\n- TC-002: Métricas de Disco\n- TC-003: Serialización JSON\n- TC-004: Envío Periódico\n\n**Criterios:**\n- [ ] Detecta primer disco\n- [ ] Métricas correctas\n- [ ] Envío cada 30s\n\n**Archivos:** client/src/metrics/disk_monitor.py","Integrante1","component: client,priority: high,sprint-1","Sprint 1","High","6h"
"TICKET #3: Recepción de Mensajes del Servidor","**Sprint:** 2\n**Componente:** Cliente\n**Estimación:** 8 horas\n\n**Tareas:**\n- TC-005: Recepción Mensajes\n- TC-006: Almacenamiento .log\n- TC-007: Envío ACK\n\n**Criterios:**\n- [ ] Thread recibe mensajes\n- [ ] Guarda en .log\n- [ ] ACK en <2s\n\n**Archivos:** client/src/messaging/","Integrante1","component: client,priority: medium,sprint-2","Sprint 2","Medium","8h"
"TICKET #4: Pruebas y Robustez del Cliente","**Sprint:** 3\n**Componente:** Cliente\n**Estimación:** 6 horas\n\n**Tareas:**\n- TC-010: Shutdown Graceful\n- TC-011: Pruebas Integración\n\n**Criterios:**\n- [ ] Cierre limpio\n- [ ] Coverage ≥80%\n- [ ] Tests pasan\n\n**Archivos:** client/tests/","Integrante1","component: client,priority: low,sprint-3,type: testing","Sprint 3","Low","6h"
"TICKET #5: Setup Básico del Servidor","**Sprint:** 1\n**Componente:** Servidor\n**Estimación:** 10 horas\n\n**Tareas:**\n- TS-001: Socket Servidor\n- TS-002: Gestor Conexiones\n- TS-003: Registro Automático\n- TS-011: Configuración\n- TS-013: Logging\n\n**Criterios:**\n- [ ] Acepta 9 clientes\n- [ ] Registro automático en BD\n- [ ] Logs categorizados\n\n**Archivos:** server/src/network/","Integrante2","component: server,priority: high,sprint-1","Sprint 1","High","10h"
"TICKET #6: Procesamiento de Métricas","**Sprint:** 2\n**Componente:** Servidor\n**Estimación:** 8 horas\n\n**Tareas:**\n- TS-004: Procesamiento Métricas\n- TS-006: Métricas Globales\n- TS-007: Growth Rate\n\n**Criterios:**\n- [ ] Procesa y almacena métricas\n- [ ] Calcula métricas globales\n- [ ] Growth rate en MB/h\n\n**Archivos:** server/src/business_logic/","Integrante2","component: server,priority: high,sprint-2","Sprint 2","High","8h"
"TICKET #7: Monitoreo de Disponibilidad","**Sprint:** 2\n**Componente:** Servidor\n**Estimación:** 8 horas\n\n**Tareas:**\n- TS-005: Detector Inactivos\n- TS-010: Availability\n\n**Criterios:**\n- [ ] Detecta inactivos cada 15s\n- [ ] Calcula availability\n- [ ] Alerta si <99.9%\n\n**Archivos:** server/src/business_logic/inactivity_monitor.py","Integrante2","component: server,priority: high,sprint-2","Sprint 2","High","8h"
"TICKET #8: Sistema de Mensajería Bidireccional","**Sprint:** 2\n**Componente:** Servidor\n**Estimación:** 8 horas\n\n**Tareas:**\n- TS-008: Envío Mensajes\n- TS-009: Recepción ACKs\n\n**Criterios:**\n- [ ] Envía mensajes a clientes\n- [ ] Procesa ACKs\n- [ ] Timeout 30s\n\n**Archivos:** server/src/messaging/","Integrante2","component: server,priority: medium,sprint-2","Sprint 2","Medium","8h"
"TICKET #9: API REST para UI","**Sprint:** 3\n**Componente:** Servidor\n**Estimación:** 6 horas\n\n**Tareas:**\n- TS-012: API REST\n\n**Criterios:**\n- [ ] Endpoints funcionales\n- [ ] CORS configurado\n- [ ] Respuestas <200ms\n\n**Archivos:** server/src/api/","Integrante2","component: server,priority: medium,sprint-3","Sprint 3","Medium","6h"
"TICKET #10: Pruebas del Servidor","**Sprint:** 3\n**Componente:** Servidor\n**Estimación:** 8 horas\n\n**Tareas:**\n- TS-014: Pruebas de Carga\n\n**Criterios:**\n- [ ] 9 clientes concurrentes\n- [ ] Latency <100ms\n- [ ] Sin memory leaks\n\n**Archivos:** server/tests/","Integrante2","component: server,priority: low,sprint-3,type: testing","Sprint 3","Low","8h"
